Category,Fact
Status,Near Threatened
Current Population,"31,000"
Habitat,Open grasslands
Cause of Status,"Habitat loss, hunting, genetic modification to to domestication"
Climate change impacts,Effects of climate change: Minimal
Human-Wildlife conflict,"Hunting, domestification,"
Poaching and illegal wildlife trade:,Over harvesting
Organizations that help:,World Wildlife Fund
What can humans do to help:,"A financial gift, corporate sponsorship, NFT purchase"
Sources:,https://ielc.libguides.com/sdzg/factsheets/americanbison/distribution.
