Category,Fact
Status,vulnerable species
Current Population,"26,000"
Habitat,Artic sea ice
Cause of Status,"Climate warming, polution, disease, overharvesting, sea ice loss"
Climate change impacts,Sea ice loss
Human-Wildlife conflict,"Commercial activity, conflicts and encounters, polution,  Increased shipping in the Bering Strait."
Poaching and illegal wildlife trade:,Overharvesting
Organizations that help:,"Polar bears international, World Wildlife Fund. They help by reducing conflict, monitoring populations, reducing industrial impacts, protecting critical habitat."
What can humans do to help:,"A financial gift, corporate sponsorship, fundraising, symbolic Polar Bear adoption."
Sources:,https://polarbearsinternational.org/polar-bears-changing-arctic/polar-bear-facts/status/
